"","Reef2","year","time_since_closure","rugosity","year_established","Reef","mean.biomass","SD","time_since_closure.x","mean.biomass.ha","SD.ha","time_since_closure.y","ben_pc1","long","lat","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","tsa_max.y","tsa_max.lag.sc","npp_mean_sc","ben_pc1_sc","rugosity_sc","time_since_closure_sc","log.biomass"
"44","Mombasa",2007,16,1.3,1991,"Mombasa",1184.9,823.632176520563,16,2369.8,1647.26435304113,16,1.78682609658784,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.338868418,0.295616624051449,-0.614450820620645,1.07718370861707,-0.2528260815885,-0.917456828214383,3.37471169514026
"45","Mombasa",2008,17,1.3,1991,"Mombasa",568.65,54.461364286988,17,1137.3,108.922728573976,17,1.88113080946716,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.224201752,-0.0283763290037519,-0.614450820620645,1.15245918453311,-0.252826081588496,-0.836553175585379,3.0558750391461
"46","Mombasa",2009,18,1.35,1991,"Mombasa_Sharkpoint",441.326803771,NA,18,882.653607542,NA,18,1.23147584134196,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.519868418,0.807035736062531,-0.614450820620645,0.633894571867109,0.600413026782644,-0.755649522956374,2.94579030057851
"47","Mombasa",2009,18,1.35,1991,"Mombasa Starfish",271.055,62.9537167290383,18,542.11,125.907433458077,18,1.23147584134196,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.519868418,0.807035736062531,-0.614450820620645,0.633894571867109,0.600413026782644,-0.755649522956374,2.73408741854192
"48","Mombasa",2009,18,1.35,1991,"Mombasa",432.164,136.537420804701,18,864.328,273.074841609402,18,1.23147584134196,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.519868418,0.807035736062531,-0.614450820620645,0.633894571867109,0.600413026782644,-0.755649522956374,2.93667858224516
"49","Mombasa",2009,18,1.35,1991,"Kasa_Mombasa",1213.4397655,NA,18,2426.879531,NA,18,1.23147584134196,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.519868418,0.807035736062531,-0.614450820620645,0.633894571867109,0.600413026782644,-0.755649522956374,3.38504821872153
"50","Mombasa",2010,19,1.25,1991,"Mombasa",225.78,81.2473146222897,19,451.56,162.494629244579,19,1.00510093725487,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,-0.153798248,-1.09642287231971,-0.614450820620645,0.453198632922795,-1.10606518995964,-0.674745870327369,2.65471546436749
"51","Mombasa",2011,20,1.25,1991,"Mombasa",481.7575,146.657479267169,20,963.515,293.314958534337,20,0.859887253159344,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.441201752,0.584761501418374,-0.614450820620645,0.337286831210401,-1.10606518995964,-0.593842217698364,2.98385848013991
"52","Mombasa",2013,22,1.35,1991,"Bamburi Wreck",587.1616892365,203.397117610949,22,1174.323378473,406.794235221899,22,1.03861549004428,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.185201752,-0.138571607282383,-0.614450820620645,0.479950465724243,0.600413026782644,-0.432034912440354,3.06978770691809
"53","Mombasa",2013,22,1.35,1991,"Mombasa",428.1330814405,68.3420439405332,22,856.266162881,136.684087881066,22,1.03861549004428,39.74766,-3.99434,956.8565358,666.2170616,1514.031643,215.6300451,178.7787082,1,0.185201752,-0.138571607282383,-0.614450820620645,0.479950465724243,0.600413026782644,-0.432034912440354,2.93260878232095
